Team,price,point,sport_title,Time_of_Kickoff,home_team,away_team,bookmakers.title,bookmakers.markets.key,bookmakers.markets.last_update
Kent State Golden Flashes,-110,37.0,NCAAF,2023-08-31 19:00:00-04:00,UCF Knights,Kent State Golden Flashes,DraftKings,spreads,2023-08-28 17:51:04-04:00
UCF Knights,-110,-37.0,NCAAF,2023-08-31 19:00:00-04:00,UCF Knights,Kent State Golden Flashes,DraftKings,spreads,2023-08-28 17:51:04-04:00
NC State Wolfpack,-700,,NCAAF,2023-08-31 19:30:00-04:00,UConn Huskies,NC State Wolfpack,DraftKings,h2h,2023-08-28 17:51:04-04:00
UConn Huskies,500,,NCAAF,2023-08-31 19:30:00-04:00,UConn Huskies,NC State Wolfpack,DraftKings,h2h,2023-08-28 17:51:04-04:00
NC State Wolfpack,-110,-14.5,NCAAF,2023-08-31 19:30:00-04:00,UConn Huskies,NC State Wolfpack,DraftKings,spreads,2023-08-28 17:51:04-04:00
UConn Huskies,-110,14.5,NCAAF,2023-08-31 19:30:00-04:00,UConn Huskies,NC State Wolfpack,DraftKings,spreads,2023-08-28 17:51:04-04:00
Florida Gators,215,,NCAAF,2023-08-31 20:00:00-04:00,Utah Utes,Florida Gators,DraftKings,h2h,2023-08-28 17:51:04-04:00
Utah Utes,-265,,NCAAF,2023-08-31 20:00:00-04:00,Utah Utes,Florida Gators,DraftKings,h2h,2023-08-28 17:51:04-04:00
Florida Gators,-108,6.5,NCAAF,2023-08-31 20:00:00-04:00,Utah Utes,Florida Gators,DraftKings,spreads,2023-08-28 17:51:04-04:00
Utah Utes,-112,-6.5,NCAAF,2023-08-31 20:00:00-04:00,Utah Utes,Florida Gators,DraftKings,spreads,2023-08-28 17:51:04-04:00
Minnesota Golden Gophers,-310,,NCAAF,2023-08-31 20:00:00-04:00,Minnesota Golden Gophers,Nebraska Cornhuskers,DraftKings,h2h,2023-08-28 17:51:04-04:00
Nebraska Cornhuskers,250,,NCAAF,2023-08-31 20:00:00-04:00,Minnesota Golden Gophers,Nebraska Cornhuskers,DraftKings,h2h,2023-08-28 17:51:04-04:00
Minnesota Golden Gophers,-110,-7.5,NCAAF,2023-08-31 20:00:00-04:00,Minnesota Golden Gophers,Nebraska Cornhuskers,DraftKings,spreads,2023-08-28 17:51:04-04:00
Nebraska Cornhuskers,-110,7.5,NCAAF,2023-08-31 20:00:00-04:00,Minnesota Golden Gophers,Nebraska Cornhuskers,DraftKings,spreads,2023-08-28 17:51:04-04:00
