Line,price,point,sport_title,Time_of_Kickoff,home_team,away_team,bookmakers.title,bookmakers.markets.key,bookmakers.markets.last_update
Detroit Lions,-108,-1.5,NFL,2023-09-28 20:15:00-04:00,Green Bay Packers,Detroit Lions,DraftKings,spreads,2023-09-26 15:25:39-04:00
Green Bay Packers,-112,1.5,NFL,2023-09-28 20:15:00-04:00,Green Bay Packers,Detroit Lions,DraftKings,spreads,2023-09-26 15:25:39-04:00
O/U,-108,46.0,NFL,2023-09-28 20:15:00-04:00,Green Bay Packers,Detroit Lions,DraftKings,totals,2023-09-26 15:25:39-04:00
Atlanta Falcons,-112,3.0,NFL,2023-10-01 09:30:00-04:00,Jacksonville Jaguars,Atlanta Falcons,DraftKings,spreads,2023-09-26 15:25:39-04:00
Jacksonville Jaguars,-108,-3.0,NFL,2023-10-01 09:30:00-04:00,Jacksonville Jaguars,Atlanta Falcons,DraftKings,spreads,2023-09-26 15:25:39-04:00
O/U,-110,43.0,NFL,2023-10-01 09:30:00-04:00,Jacksonville Jaguars,Atlanta Falcons,DraftKings,totals,2023-09-26 15:25:39-04:00
Baltimore Ravens,-105,2.5,NFL,2023-10-01 13:00:00-04:00,Cleveland Browns,Baltimore Ravens,DraftKings,spreads,2023-09-26 15:25:39-04:00
Cleveland Browns,-115,-2.5,NFL,2023-10-01 13:00:00-04:00,Cleveland Browns,Baltimore Ravens,DraftKings,spreads,2023-09-26 15:25:39-04:00
O/U,-112,41.0,NFL,2023-10-01 13:00:00-04:00,Cleveland Browns,Baltimore Ravens,DraftKings,totals,2023-09-26 15:25:39-04:00
Buffalo Bills,-102,-3.0,NFL,2023-10-01 13:00:00-04:00,Buffalo Bills,Miami Dolphins,DraftKings,spreads,2023-09-26 15:25:39-04:00
Miami Dolphins,-118,3.0,NFL,2023-10-01 13:00:00-04:00,Buffalo Bills,Miami Dolphins,DraftKings,spreads,2023-09-26 15:25:39-04:00
O/U,-110,53.5,NFL,2023-10-01 13:00:00-04:00,Buffalo Bills,Miami Dolphins,DraftKings,totals,2023-09-26 15:25:39-04:00
Carolina Panthers,-108,3.5,NFL,2023-10-01 13:01:00-04:00,Carolina Panthers,Minnesota Vikings,DraftKings,spreads,2023-09-26 15:25:39-04:00
Minnesota Vikings,-112,-3.5,NFL,2023-10-01 13:01:00-04:00,Carolina Panthers,Minnesota Vikings,DraftKings,spreads,2023-09-26 15:25:39-04:00
O/U,-108,45.5,NFL,2023-10-01 13:01:00-04:00,Carolina Panthers,Minnesota Vikings,DraftKings,totals,2023-09-26 15:25:39-04:00
Chicago Bears,-102,3.0,NFL,2023-10-01 13:01:00-04:00,Chicago Bears,Denver Broncos,DraftKings,spreads,2023-09-26 15:25:39-04:00
Denver Broncos,-118,-3.0,NFL,2023-10-01 13:01:00-04:00,Chicago Bears,Denver Broncos,DraftKings,spreads,2023-09-26 15:25:39-04:00
O/U,-110,46.0,NFL,2023-10-01 13:01:00-04:00,Chicago Bears,Denver Broncos,DraftKings,totals,2023-09-26 15:25:39-04:00
Cincinnati Bengals,-110,-2.5,NFL,2023-10-01 13:01:00-04:00,Tennessee Titans,Cincinnati Bengals,DraftKings,spreads,2023-09-26 15:25:39-04:00
